1426,1422,1423,1425,1419
1422,1423,1425,1419,1421
1423,1425,1419,1421,1412
1425,1419,1421,1412,1418
1419,1421,1412,1418,1420
1421,1412,1418,1420,1424
1412,1418,1420,1424,719
1418,1420,1424,719,1411
1420,1424,719,1411,1413
1424,719,1411,1413,1417
719,1411,1413,1417,997
1411,1413,1417,997,1080
1413,1417,997,1080,1243
1417,997,1080,1243,1401
997,1080,1243,1401,1403
1080,1243,1401,1403,1407
1243,1401,1403,1407,1408
1401,1403,1407,1408,1409
1403,1407,1408,1409,1410
1407,1408,1409,1410,1414
1408,1409,1410,1414,1427
1409,1410,1414,1427,1402
1410,1414,1427,1402,1404
1414,1427,1402,1404,1406
1427,1402,1404,1406,610
1402,1404,1406,610,1082
1404,1406,610,1082,1299
1406,610,1082,1299,1398
610,1082,1299,1398,1400
1082,1299,1398,1400,1416
1299,1398,1400,1416,1212
1398,1400,1416,1212,1395
1400,1416,1212,1395,1397
1416,1212,1395,1397,1311
1212,1395,1397,1311,1319
1395,1397,1311,1319,1399
1397,1311,1319,1399,1278
1311,1319,1399,1278,1391
1319,1399,1278,1391,1405
1399,1278,1391,1405,1384
1278,1391,1405,1384,1385
1391,1405,1384,1385,1390
1405,1384,1385,1390,1394
1384,1385,1390,1394,500
1385,1390,1394,500,889
1390,1394,500,889,1381
1394,500,889,1381,810
500,889,1381,810,906
889,1381,810,906,1183
1381,810,906,1183,1286
810,906,1183,1286,1330
906,1183,1286,1330,1378
1183,1286,1330,1378,1380
1286,1330,1378,1380,1239
1330,1378,1380,1239,1327
1378,1380,1239,1327,1373
1380,1239,1327,1373,1377
1239,1327,1373,1377,1379
1327,1373,1377,1379,1383
1373,1377,1379,1383,849
1377,1379,1383,849,1374
1379,1383,849,1374,1393
1383,849,1374,1393,1370
849,1374,1393,1370,1372
1374,1393,1370,1372,342
1393,1370,1372,342,1031
1370,1372,342,1031,1182
1372,342,1031,1182,1222
342,1031,1182,1222,1228
1031,1182,1222,1228,1290
1182,1222,1228,1290,1359
1222,1228,1290,1359,1363
1228,1290,1359,1363,292
1290,1359,1363,292,1264
1359,1363,292,1264,1366
1363,292,1264,1366,1367
292,1264,1366,1367,1368
1264,1366,1367,1368,1382
1366,1367,1368,1382,1238
1367,1368,1382,1238,1300
1368,1382,1238,1300,1365
1382,1238,1300,1365,1396
1238,1300,1365,1396,240
1300,1365,1396,240,1184
1365,1396,240,1184,1237
1396,240,1184,1237,1288
240,1184,1237,1288,1341
1184,1237,1288,1341,1354
1237,1288,1341,1354,1357
1288,1341,1354,1357,1361
1341,1354,1357,1361,1376
1354,1357,1361,1376,1356
1357,1361,1376,1356,1265
1361,1376,1356,1265,1351
1376,1356,1265,1351,1352
1356,1265,1351,1352,1387
1265,1351,1352,1387,1215
1351,1352,1387,1215,1350
1352,1387,1215,1350,1353
1387,1215,1350,1353,1364
1215,1350,1353,1364,1392
1350,1353,1364,1392,872
1353,1364,1392,872,974
1364,1392,872,974,1186
1392,872,974,1186,1196
872,974,1186,1196,1343
974,1186,1196,1343,239
1186,1196,1343,239,303
1196,1343,239,303,917
1343,239,303,917,1321
239,303,917,1321,1371
303,917,1321,1371,943
917,1321,1371,943,998
1321,1371,943,998,1279
1371,943,998,1279,1312
943,998,1279,1312,1342
998,1279,1312,1342,1369
1279,1312,1342,1369,236
1312,1342,1369,236,291
1342,1369,236,291,419
1369,236,291,419,869
236,291,419,869,1116
291,419,869,1116,1219
419,869,1116,1219,1262
869,1116,1219,1262,1336
1116,1219,1262,1336,1360
1219,1262,1336,1360,1216
1262,1336,1360,1216,1316
1336,1360,1216,1316,1326
1360,1216,1316,1326,1329
1216,1316,1326,1329,1335
1316,1326,1329,1335,966
1326,1329,1335,966,1214
1329,1335,966,1214,1348
1335,966,1214,1348,1388
966,1214,1348,1388,226
1214,1348,1388,226,716
1348,1388,226,716,841
1388,226,716,841,912
226,716,841,912,1250
716,841,912,1250,1267
841,912,1250,1267,1281
912,1250,1267,1281,1324
1250,1267,1281,1324,923
1267,1281,1324,923,941
1281,1324,923,941,968
1324,923,941,968,1323
923,941,968,1323,1254
941,968,1323,1254,1386
968,1323,1254,1386,975
1323,1254,1386,975,1011
1254,1386,975,1011,1301
1386,975,1011,1301,1389
975,1011,1301,1389,931
1011,1301,1389,931,455
1301,1389,931,455,783
1389,931,455,783,1205
931,455,783,1205,1313
455,783,1205,1313,1314
783,1205,1313,1314,1308
1205,1313,1314,1308,274
1313,1314,1308,274,645
1314,1308,274,645,951
1308,274,645,951,1223
274,645,951,1223,1292
645,951,1223,1292,1309
951,1223,1292,1309,1226
1223,1292,1309,1226,1315
1292,1309,1226,1315,1320
1309,1226,1315,1320,1340
1226,1315,1320,1340,551
1315,1320,1340,551,916
1320,1340,551,916,1303
1340,551,916,1303,871
551,916,1303,871,1190
916,1303,871,1190,1225
1303,871,1190,1225,1318
871,1190,1225,1318,781
1190,1225,1318,781,785
1225,1318,781,785,884
1318,781,785,884,1143
781,785,884,1143,1296
785,884,1143,1296,1310
884,1143,1296,1310,230
1143,1296,1310,230,343
1296,1310,230,343,1197
1310,230,343,1197,1202
230,343,1197,1202,1295
343,1197,1202,1295,1297
1197,1202,1295,1297,1317
1202,1295,1297,1317,246
1295,1297,1317,246,714
1297,1317,246,714,1035
1317,246,714,1035,1128
246,714,1035,1128,1322
714,1035,1128,1322,1339
1035,1128,1322,1339,1347
1128,1322,1339,1347,1109
1322,1339,1347,1109,1117
1339,1347,1109,1117,1137
1347,1109,1117,1137,1271
1109,1117,1137,1271,1328
1117,1137,1271,1328,1331
1137,1271,1328,1331,1029
1271,1328,1331,1029,1217
1328,1331,1029,1217,1261
1331,1029,1217,1261,1266
1029,1217,1261,1266,1294
1217,1261,1266,1294,1009
1261,1266,1294,1009,1252
1266,1294,1009,1252,222
1294,1009,1252,222,1201
1009,1252,222,1201,842
1252,222,1201,842,1004
222,1201,842,1004,1195
1201,842,1004,1195,1269
